Condition	condition_group	day	Replicate	Bottom	Top
NT	NT	Day4	r1	37	0
sg10966	DHX38	Day4	r1	26.8	41.3
sg11664	DHX38	Day4	r1	25.1	36.8
Safe_001	Safe harbor	Day4	r1	23.8	25.3
Safe_002	Safe harbor	Day4	r1	22.6	25.5
NT	NT	Day7	r1	30.7	0
sg10966	DHX38	Day7	r1	28.9	59.8
sg11664	DHX38	Day7	r1	19.3	49
Safe_001	Safe harbor	Day7	r1	17.9	31.4
Safe_002	Safe harbor	Day7	r1	15.4	31.8
NT+ Eto	positive control	Day2	r1	30.7	0
NT+ Eto	positive control	Day4	r1	67	0
NT+ Eto	positive control	Day7	r1	76.7	0
NT	NT	Day2	r2	26.5	0
sg10966	DHX38	Day2	r2	40.9	32
sg11664	DHX38	Day2	r2	37.9	28.1
Safe_001	Safe harbor	Day2	r2	32.9	21.8
Safe_002	Safe harbor	Day2	r2	34.7	23.9
NT	NT	Day4	r2	14.8	0
sg10966	DHX38	Day4	r2	30	52.5
sg11664	DHX38	Day4	r2	28.2	47.6
Safe_001	Safe harbor	Day4	r2	25.1	33.6
Safe_002	Safe harbor	Day4	r2	25.1	32.9
NT	NT	Day7	r2	24.1	0
sg10966	DHX38	Day7	r2	45	73.6
sg11664	DHX38	Day7	r2	28.7	52.9
Safe_001	Safe harbor	Day7	r2	29.7	41.2
Safe_002	Safe harbor	Day7	r2	25.9	39.1
NT+ Eto	positive control	Day2	r2	33.65	0
NT+ Eto	positive control	Day4	r2	60.65	0
NT+ Eto	positive control	Day7	r2	90.2	0
NT	NT	Day2	r3	29.6	NA
sg10966	DHX38	Day2	r3	49.7	40.9
sg11664	DHX38	Day2	r3	40.2	33
Safe_001	Safe harbor	Day2	r3	37.1	25.6
Safe_002	Safe harbor	Day2	r3	43.9	32.4
NT	NT	Day4	r3	17.3	NA
sg10966	DHX38	Day4	r3	23.6	41
sg11664	DHX38	Day4	r3	21.6	38.4
Safe_001	Safe harbor	Day4	r3	22.9	28.7
Safe_002	Safe harbor	Day4	r3	22.6	31.3
NT	NT	Day7	r3	24.1	NA
sg10966	DHX38	Day7	r3	31.2	65.6
sg11664	DHX38	Day7	r3	34.1	60.9
Safe_001	Safe harbor	Day7	r3	35.7	46.3
Safe_002	Safe harbor	Day7	r3	38.3	51.6
NT+ Eto	positive control	Day2	r3	44.9	NA
NT+ Eto	positive control	Day4	r3	54.15	NA
NT+ Eto	positive control	Day7	r3	86.1	NA
