Samples	baseline	FACS_Top
HI.5042.007.NGS-Lib-Rev--7.Krab_Top_Ca_71_R1.fastq.gz	1	1
HI.5042.007.NGS-Lib-Rev--8.Krab_bottom_Ca_72_R1.fastq.gz	1	0
HI.5143.002.NGS-Lib-Rev--3.Krab_CA_Top_137_R1.fastq.gz	1	1
HI.5143.002.NGS-Lib-Rev--4.Krab_CA_Bottom_138_R1.fastq.gz	1	0
HI.5143.003.NGS-Lib-Rev--1.Krab_CA_Top_143_R1.fastq.gz	1	1
HI.5143.003.NGS-Lib-Rev--2.Krab_CA_Bottom_144_R1.fastq.gz	1	0
HI.5143.005.NGS-Lib-Rev--5.Krab_CA_Top_155_R1.fastq.gz	1	1
HI.5143.005.NGS-Lib-Rev--6.Krab_CA_Bottom_156_R1.fastq.gz	1	0
HI.5143.006.NGS-Lib-Rev--7.Krab_CA_Top_165_R1.fastq.gz	1	1
HI.5143.006.NGS-Lib-Rev--8.Krab_CA_Bottom_166_R1.fastq.gz	1	0
